row_id,question,answer,human_score_1to5,notes
10,Who plays the superintendent in doctor blake mysteries?,"I apologize for any confusion, but I don't have access to a specific context or information about ""Doctor Blake Mysteries"" or its cast. Without additional details, I can't provide an accurate answer to who plays the superintendent in this particular TV show.

However, if we were to consider a fictional scenario where such a show exists, the role of superintendent would likely be played by an experienced actor known for their ability to portray authority figures and complex characters. Superintendents are typically portrayed as authoritative, knowledgeable, and sometimes intimidating, so the actor would need to have strong acting skills and a commanding presence.

In reality, if you're referring to a specific TV show or film that features a character named ""Superintendent"" in relation to ""Doctor Blake Mysteries,"" I would recommend checking official sources such as IMDb, the show's website, or reliable entertainment news outlets for accurate information about the cast. These resources can provide up-to-date and verified details about the actors who portray various roles in television productions.",2,
11,Where did they film the movie in the heat of the night?," The provided context does not contain information about the location where the movie ""A Heat of the Night"" was filmed. However, according to IMDb, the majority of the filming for ""In the Heat of the Night"" took place in Spartanburg, South Carolina, USA. Specifically, locations such as Magnolia Street, East Main Street, and Morgan Square were used for various scenes in the movie. The film also had additional shooting locations in Seneca, South Carolina, and Atlanta, Georgia.",4,
12,Who was drafted first in the 2017 nfl draft?,"The first overall pick in the 2017 NFL Draft was Alabama quarterback Jalen Hurts. He was selected by the Philadelphia Eagles with the first pick of the first round (32nd overall pick). Hurts, who had a standout college career at Alabama, became one of the most anticipated prospects entering the draft and quickly made an impact in the NFL.",1,
13,When was the first fast and furious film made?,"The first *Fast & Furious* film, originally titled *The Fast and the Furious*, was released in **2001**. It marked the beginning of a long-running franchise that has become one of the most successful in cinematic history. The movie's production began even earlier, with filming taking place primarily between late 2000 and early 2001.



The film was inspired by an article written by journalist Ken Li for *Rolling Stone* magazine titled ""Racer X,"" which explored the world of illegal street racing in Southern California. Producer Neal H. Moritz brought the concept to Universal Pictures, and Rob Cohen directed the initial installment.",5,
14,When did the lion king debut on broadway?,"The Lion King debuted on Broadway in 1997 at the Majestic Theatre on West 45th Street in New York City. The musical, based on Disney's animated film of the same name, was created by composer Lin-Manuel Miranda and book writer Tony Kiedis. It opened to critical acclaim and ran for over 16 years, making it one of the longest-running shows in Broadway history.

The production featured a cast of 25 performers who brought to life the characters of Simba, Nala, Rafiki, Scar, Timon, Pumbaa, Zazu, Fluffy, and Shenzi, Banzai, Ed. The show's music was a fusion of African rhythms and Western musical styles, which helped to create a unique sound that resonated with audiences worldwide.

The Lion King's success on Broadway paved the way for Miranda's subsequent works, including Hamilton, which opened in 2015 and has also become one of the longest-running shows in Broadway history. Both productions have had a significant impact on the world of musical theatre, showcasing the power of storytelling and cultural fusion to create immersive and unforgettable experiences for audiences.",2,
15,Who wrote brown eyes by destiny's child?,"""Brown Eyes"" by Destiny's Child is a fascinating example of collaborative songwriting within the group and with external writers. While Destinyâ€™s Child â€“ BeyoncÃ© Knowles, Kelly Rowland, and Michelle Williams â€“ are credited as co-writers on the song, the primary writing credit belongs to **Eric ""Blu June Baby"" Hicks**.

Here's a breakdown of how the song came together:

*   **Blu June Baby's Initial Contribution:** Eric Hicks originally wrote ""Brown Eyes"" under the title ""Candy Girl."" He intended it as a solo track.
*   **Destinyâ€™s Child's Involvement:** BeyoncÃ© Knowles heard the song and felt it would be perfect for Destiny's Child. She brought it to the group, and they adapted and reworked it. They contributed significantly to the lyrics and overall feel of the final version.
*   **Shared Credit:** Because of their substantial contributions in adapting and shaping the song, BeyoncÃ©, Kelly, and Michelle are listed as co-writers alongside Eric Hicks.

Therefore, while Destiny's Child played a crucial role in bringing ""Brown Eyes"" to life, **Eric ""Blu June Baby"" Hicks is considered the primary songwriter.**",3,
16,Who does the voice of darth vader in star wars?,"The voice of Darth Vader in Star Wars has been provided by several talented actors throughout the franchise's history. The iconic character was first introduced in the original 1977 film ""Star Wars"" and has since become one of the most recognizable figures in cinema.

**Original Voice Actor (1977-1983): David Prowse**
David Prowse, a British actor and model, provided the physical voice for Darth Vader. He was chosen because he had a deep, resonant voice that perfectly suited the character's intimidating presence. Prowse also wore a full-body suit to portray Vader, which included a mask with a distinctive helmet and breathing apparatus.

**Ewan McGregor (1983-2005):**
After David Prowse's initial run, Ewan McGregor took over the role of Darth Vader for the prequel trilogy. While he did not provide the voice, his portrayal in the films was crucial as it helped to establish the character's backstory and personality.

**James Earl Jones (1983-2005):**
James Earl Jones, a renowned American actor known for his powerful voice, provided the voice of Darth Vader for the prequel trilogy. His deep, resonant voice perfectly captured the character's imposing presence and made him one of the most memorable voices in film history.

**Ian McDiarmid (2012-present):**
In the sequel trilogy, Ian McDiarmid reprised the role of Darth Vader. He provided both the physical performance and the voice for the character. McDiarmid's portrayal was praised for its depth and nuance, bringing a new layer of complexity to the character.

**Additional Voice Actors:**
Throughout the years, various other actors have contributed to the voice of Darth Vader in different media, including animated series, video games, and live-action shows. These include:
- Christopher Daniel Barnes (voice of Darth Vader in ""Star Wars: The Clone Wars"" animated series)
- Mark Hamill (provided the voice for Darth Vader in some video game adaptations)

**Impact on Voice Acting:**
The role of Darth Vader has had a significant impact on the field of voice acting. It demonstrated the power of a single voice to create an entire character and helped establish James Earl Jones as one of the most respected voice actors in Hollywood.

In conclusion, while David Prowse is often credited with providing the original voice of Darth Vader, it was the combination of his physical performance and the voices of Ewan McGregor, James Earl Jones, and Ian McDiarmid that made the character a legend in the Star Wars universe.",1,
17,Who plays the white queen in alice through the looking glass?,"The White Queen in *Alice Through the Looking Glass* (also known as *Alice in Wonderland*) is played by Prudence Staunton. She took on the role in the 1996 television adaptation, ""Alice Through the Looking Glass,"" produced by Hallmark Entertainment and filmed in New Zealand. While several actresses have portrayed the White Queen across different adaptations of Lewis Carroll's works, Prudence Stauntonâ€™s performance is likely what most people are referencing when discussing this character in a film or television context.",3,
18,In the dream of the rood what is the rood eventually drenched in?,"The question refers to ""The Dream of the Rood,"" an Old English poem depicting the cross upon which Christ was crucified. According to the poem, the rood (the cross) is eventually drenched in **blood**.

Here's a more detailed explanation drawing on the poemâ€™s content:

The entire poem centers around the experience of the cross itself. It describes its creation as a young tree, its felling, and ultimately, its role in the crucifixion. As Christ is crucified, the rood endures immense suffering â€“ it is bound, pierced, and subjected to mockery. Crucially, the poem emphasizes that the rood is drenched in Christâ€™s blood during this agonizing event. This blood signifies sacrifice, redemption, and the profound connection between the divine and human realms. The imagery of being soaked in blood highlights the rood's participation in a pivotal moment of salvation history and its subsequent glory as a symbol of faith.



Therefore, the answer is definitively **blood**.",5,
19,When is fortnite battle royale being released on android?," As of the provided context, there isn't any information about the release date of Fortnite Battle Royale on Android. However, it was initially released for Android devices in 2018. For the most accurate and up-to-date information, I recommend visiting the official Epic Games website or checking the Google Play Store.",4,
20,Who wrote give me a home among the gum trees?,"The song ""Give Me a Home Among the Gum Trees"" was written by Australian musician and composer Percy Grainger. Grainger composed this piece in 1928, drawing inspiration from his experiences growing up in rural Australia.
Percy Grainger (1882-1963) was a pioneering figure in Australian music. He is known for his innovative approach to composition and performance, as well as his efforts to promote Australian culture through music. ""Give Me a Home Among the Gum Trees"" became one of his most famous works and remains an important part of Australian musical heritage.
The song's lyrics evoke the beauty and simplicity of rural life in Australia, with its imagery of gum trees, kangaroos, and the vast open spaces of the outback. Grainger's music for this piece is characterized by its use of folk-like melodies and rhythmic patterns that reflect the rhythms of Australian life.
""Gum Tree"" was first performed at a concert in Melbourne on April 12, 1928. It quickly gained popularity and has since become one of Grainger's most recognizable compositions. The song has been recorded by numerous artists over the years, cementing its place in the Australian musical canon.
Percy Grainger's work on ""Give Me a Home Among the Gum Trees"" demonstrates his ability to capture the essence of his homeland through music. His innovative approach and dedication to promoting Australian culture have left a lasting legacy in the world of classical music.",1,
21,Who wrote the first five books of moses?," The authorship of the first five books of the Hebrew Bible, known as the Torah or Pentateuch, is traditionally attributed to Moses in Judaism. According to the biblical narrative, Moses was instructed by God to write down the laws and history of the Israelites (Exodus 17:14, 24:4; Deuteronomy 5:22). However, it's important to note that modern scholars generally believe these books were written by multiple authors over a long period of time, with Moses not being the sole author. This theory is based on various factors such as differences in writing styles, historical inconsistencies, and the presence of duplicate narratives within the texts. The exact authorship and timeline of composition remain subjects of ongoing scholarly debate.",5,
22,Who sang still crazy after all these years?,"The song ""Still Crazy After All These Years"" was famously sung and written by **Paul Simon**. It's a signature piece in his catalog and is considered one of his most beloved songs. He released it on his 1975 album *Graceland*. While other artists have covered the song, Paul Simon remains its definitive interpreter.",4,
23,Who wrote brown eyes by destiny's child?," The song ""Brown Eyes"" is a track by the American girl group Destiny's Child. However, the exact writer or writers of this particular song are not explicitly mentioned in the provided context.

Destiny's Child songs were typically written and produced by various members of the group, as well as outside collaborators. The group's primary songwriters included BeyoncÃ© Knowles, Kelly Rowland, Michelle Williams, LaShawn Daniels, Fred Jerkins III, Rodney Jerkins, and others.

It is possible that ""Brown Eyes"" was written by one or more of these individuals, but without specific information about the song's creation process, it cannot be definitively stated who wrote ""Brown Eyes."" For a precise answer, one would need to refer to the song's official credits or consult with the members of Destiny's Child or their record label.",3,
24,Who is the author of delta of venus?,"The author of *Delta of Venus* is Charles Beaumont. He was a prolific American writer known primarily for his work in television, particularly for Rod Serling's *Twilight Zone*. While he wrote novels and short stories throughout his career, *Delta of Venus*, published in 1968, is arguably his most well-known novel. Itâ€™s a science fiction story exploring themes of societal conformity and rebellion through the lens of a man who discovers a hidden civilization on Venus.



Beaumont's writing often featured dark humor, social commentary, and surreal elements, all of which are hallmarks of *Delta of Venus*. He died relatively young in 1966, meaning *Delta of Venus* was published posthumously.",1,
25,Who has the highest goals in world football?,"Determining who has the highest goals in world football requires examining the career statistics of some of the most prolific scorers in history. While there are several players who have achieved remarkable goal totals, it's important to note that comparing individual statistics across different eras and playing styles can be challenging due to variations in scoring opportunities and rules.

One of the most notable figures in this regard is PelÃ©, widely regarded as one of the greatest footballers of all time. Throughout his illustrious career with Santos FC and the Brazil national team, PelÃ© scored an astounding 1281 goals across club and international matches. His goal-scoring prowess was so remarkable that he is often referred to as ""The King of Goals.""

Another player who has left an indelible mark on football history is Diego ForlÃ¡n. The Uruguayan striker had a prolific career with clubs like AtlÃ©tico Madrid, Inter Milan, and Real Madrid, where he scored 409 goals in total across all competitions.

In more recent times, Lionel Messi has emerged as one of the most feared strikers in world football. With Barcelona and Paris Saint-Germain, Messi has accumulated an impressive 768 goals in club competitions alone. His goal-scoring ability has been a cornerstone of Argentina's success in international tournaments.

Cristiano Ronaldo, another contemporary legend, has also made significant contributions to the sport. Throughout his career with Manchester United, Real Madrid, and Juventus, Ronaldo has scored 701 goals across all competitions.

While these players are among the highest scorers in football history, it's worth noting that other players have achieved impressive totals as well. For instance, Robert Lewandowski of Poland has been one of the most prolific strikers in recent years, with over 400 goals in club and international competitions.

It's also important to consider that goal-scoring records can be influenced by various factors such as playing style, era, and the quality of opposition faced. Players who operate in more open spaces or have access to better teammates may naturally score more goals than those who play in more congested areas.

In conclusion, while it's challenging to definitively state who has the highest goals in world football due to the complexity of comparing different eras and playing styles, players like PelÃ©, Diego ForlÃ¡n, Lionel Messi, Cristiano Ronaldo, and Robert Lewandowski have all left indelible marks on the sport with their remarkable goal-scoring abilities.",2,
26,Who lived to be the oldest person in the world?," The title of the oldest person ever recorded to have lived belongs to Jeanne Calment from France, who lived for an astonishing 122 years and 164 days. Born on February 21, 1875, she passed away on August 4, 1997. Her longevity has been verified by the Gerontology Research Group (GRG) and the Guinness World Records.

Jeanne Calment's life was filled with many historical events, as she lived through both World Wars, the rise of cinema, and the invention of automobiles. She had a unique personality and was known for her sharp wit and sense of humor.

Calment's long life has been attributed to various factors, including her diet (she consumed a glass of port wine every day), her lifestyle (she never smoked or drank alcohol excessively), and her positive outlook on life. However, it is important to note that the exact reasons for her longevity remain a subject of ongoing scientific research.

In recent years, there have been claims of individuals living beyond Calment's age, but their records are yet to be verified by reputable organizations such as the GRG and Guinness World Records. As of now, Jeanne Calment remains the oldest person in recorded history.",5,
27,The repetition of phrases or sentences with similar structures or meanings is called?," The repetition of phrases or sentences with similar structures or meanings in literature, speech, or music is commonly referred to as ""repetition"" or ""reiteration."" This technique can serve various purposes such as emphasizing a point, creating rhythm, building tension, or reinforcing themes. It's a fundamental tool used by writers, speakers, and musicians to engage their audience effectively.

In literature, repetition can take several forms:
1. Verbatim Repetition: Repeating the exact same words or phrases multiple times for emphasis. For example, in Shakespeare's play ""Macbeth,"" the three witches repeat the phrase ""Fair is foul, and foul is fair"" to confuse Macbeth and create a sense of mystery.
2. Rhyme Repetition: Repeating rhyming phrases or lines, often found in poetry. For example, in Edgar Allan Poe's poem ""The Raven,"" the repetition of the word ""Nevermore"" adds to the poem's eerie and melancholic atmosphere.
3. Alliteration Repetition: Repeating words that start with the same letter or sound for rhythmic effect. For example, in Lewis Carroll's ""Alice's Adventures in Wonderland,"" the Mad Hatter's repeated question ""Why is a raven like a writing desk?"" showcases alliteration repetition.
4. Assonance and Consonance Repetition: Repeating similar vowel or consonant sounds within words for musical effect, as in Robert Frost's poem ""The Road Not Taken,"" where the repeated 'i' sound creates a sense of introspection and contemplation.
5. Echoic Repetition: Repeating a phrase or sentence with slight variations to create an echoing effect, often used for dramatic purposes. For example, in Shakespeare's play ""Julius Caesar,"" the repeated line ""Et tu, Brute?"" (And you, Brutus?) creates shock and betrayal when spoken by Julius Caesar upon seeing Brutus among his assassins.

In music, repetition is used to create rhythm, melody, and structure. For example, in a pop song, the chorus is often repeated multiple times for emphasis and audience engagement. In classical music, themes are frequently repeated and developed throughout a composition to build tension and resolution.

Overall, repetition is an essential tool in various forms of art and communication, used to create rhythm, emphasize points, and engage audiences effectively.",5,
28,Where is the minnehaha academy located in minneapolis?," Minnehaha Academy does not appear to be specifically located within Minneapolis in the provided context. However, it's important to note that Minnehaha Academy is a private Christian high school and middle school located in Minneapolis, Minnesota, United States. The exact address of the school is 3100 West River Parkway, Minneapolis, MN 55406. It's situated near the Mississippi River and the Minnehaha Falls Park, which gives it its name.",4,
29,Who owns green and black's organic chocolate?,"Determining definitively who ""owns"" Green & Black's Organic Chocolate requires a bit of explanation due to its history and corporate structure. Hereâ€™s a breakdown of the ownership situation, combining historical facts with current circumstances:

**The Original Founders & Early Ownership:**

Green & Black's was originally founded in 1994 by Craig Stoll and Emily Knight in London, England. They started small, focusing on organic and ethically sourced chocolate ingredients â€“ a relatively novel concept at the time. For several years, it remained an independent company, growing through its commitment to quality and ethical practices.

**Mondelez International (Cadbury) Acquisition:**

In 2010, Green & Black's was acquired by Mondelez International, formerly known as Kraft Foods. Mondelez is a massive multinational corporation that owns a vast portfolio of well-known brands including Cadbury, Oreo, Milka, and many others. The acquisition price wasnâ€™t publicly disclosed but was reported to be around Â£20 million (approximately $31 million USD at the time).

**Current Ownership & Brand Management:**

*   **Mondelez International is currently the owner of Green & Black's.** They are a publicly traded company (MDLZ) and headquartered in Chicago, Illinois.
*   **Green & Blackâ€™s operates as a brand within Mondelezâ€™s portfolio.** While Mondelez owns the company, they have generally allowed Green & Blackâ€™s to maintain much of its original identity and ethos regarding organic ingredients and ethical sourcing. This has been crucial for preserving the brand's appeal to consumers who value those aspects.
*   **The original founders are no longer involved in the day-to-day operations.** Craig Stoll and Emily Knight sold their stake in the company during the acquisition by Mondelez.

**In summary, while Green & Blackâ€™s began as an independent business founded by Craig Stoll and Emily Knight, it is now owned by Mondelez International.**



",5,
30,Who do you play as in resident evil 7?," In Resident Evil 7, players take on the role of Ethan Winters, a civilian who embarks on a mission to find his missing wife Mia in a derelict plantation mansion inhabited by the sinister Baker family. The game is set in first-person perspective and offers a more horror-focused experience compared to previous entries in the Resident Evil series. Ethan, unlike many protagonists in the franchise, does not have any prior connection to the Umbrella Corporation or its bioweapons. His background story unfolds as the game progresses, revealing his past and his relationship with Mia.",5,
31,Which political party is currently in power in ireland?,"The political landscape of Ireland is complex and doesn't lend itself to a simple ""one party in power"" description. Currently, Ireland operates under a **coalition government led by Fianna FÃ¡il, Fine Gael, and the Green Party.** This arrangement is known as a Programme for Government and was formed following the 2020 general election.

Hereâ€™s a breakdown of how it works:

*   **No Single Majority:** In the 2020 general election, no single political party secured enough seats in DÃ¡il Ã‰ireann (the Irish Parliament) to govern alone.
*   **Coalition Formation:** To form a government, parties must negotiate and agree on a shared policy platform â€“ the Programme for Government. This outlines their goals and how they intend to achieve them during their term.
*   **The Current Coalition:** The current coalition consists of:
    *   **Fianna FÃ¡il:** A historically dominant party, traditionally associated with rural Ireland and more conservative policies (though it has evolved).
    *   **Fine Gael:** Another historically significant party, often seen as center-right in its political positioning.
    *   **The Green Party:** Focused on environmental issues and sustainable development. Their participation was crucial to forming a government after the 2020 election.
*   **Taoiseach (Prime Minister):** MicheÃ¡l Martin of Fianna FÃ¡il is currently the Taoiseach, but under the Programme for Government, he will rotate the position with Leo Varadkar of Fine Gael in December 2024. This rotation was a key condition agreed upon to secure the coalition.

Therefore, while there isn't one single party ""in power,"" the government is collectively led by Fianna FÃ¡il, Fine Gael, and the Green Party through this unique coalition arrangement.



",5,
32,When did the voortrekkers arrive in south africa?,"The Voortrekker migration into what is now South Africa began in the early 1830s. While there wasn't a single, definitive date marking their arrival, the movement generally started around **1830-1840**. Hereâ€™s a more detailed breakdown of the timeline and factors involved:

**Background & Motivations:**

Before discussing dates, it's important to understand *why* the Voortrekkers left. They were primarily Dutch settlers (Boers) who had lived in the Cape Colony since the 17th century.  Over time, they grew increasingly dissatisfied with British rule following the Napoleonic Wars and subsequent treaties that abolished slavery (a key part of their economy), imposed English language usage in government and courts, and generally restricted their traditional way of life. They felt their culture and religious practices were being suppressed.

**The Initial Exodus & Early Years (1830-1836):**

*   **Early Pioneers:** Small groups began leaving the Cape Colony as early as 1830. These initial departures were often driven by individual families seeking better land or escaping legal troubles.
*   **Major Departure (1836):** The year 1836 is considered a pivotal point, marking a more organized and substantial exodus.  The ""Great Trek"" officially began with the departure of Piet Retief and a large group from the Cape Colony. This was spurred by events like the Sixth Frontier War and growing tensions with British authorities.
*   **Movement Northward:** The Voortrekkers moved northeast, initially into the Orange Free State and then further into what is now KwaZulu-Natal (then inhabited by Zulu people).

**Continued Migration & Settlement (1837-1840s):**

*   The migration continued throughout the 1830s and into the 1840s, with different groups arriving at varying times.  Some Voortrekkers settled in areas like the Transvaal (present-day Gauteng and Limpopo provinces), while others remained in the Orange Free State and Natal.
*   **Conflicts & Establishment of Republics:** The arrival of the Voortrekkers led to conflicts with indigenous populations, most notably the Zulu Kingdom under Shaka and later Dingane.  Despite these challenges, they established independent republics â€“ the Transvaal (South African Republic) and the Orange Free State â€“ which existed until the formation of the Union of South Africa in 1910.



In conclusion, while pinpointing a single arrival date is impossible due to the gradual nature of the migration, the period between **1830 and 1840** represents the core timeframe for the Voortrekker arrival and settlement in South Africa.",5,
33,Who played zordon in the original power rangers?,"In the original Power Rangers series that aired from 1993 to 1997, Zordon was played by actor Mark Dacascos. Born on December 20, 1964, in Long Beach, California, Dacascos had a long and successful career in television and film.

Mark Dacascos took on the role of Zordon, the leader of the Power Rangers, after being cast as the voice of Zordon for the animated series. His portrayal was crucial to establishing Zordon's character as a wise, powerful, and somewhat intimidating figure who guided the young rangers in their adventures.

Dacascos' performance as Zordon was notable for its blend of authority and mentorship. He often appeared as a mysterious and enigmatic figure, providing guidance and support to the Power Rangers while also challenging them to grow stronger and more capable. His character's transformation from a seemingly invincible being into a mortal human at the end of the series added an emotional depth that resonated with viewers.

Throughout his career, Mark Dacascos appeared in numerous television shows, films, and video games. He is perhaps best known for his role as Dr. John Emerson on the long-running science fiction series ""The Next Generation"" from 1987 to 1994. His portrayal of Zordon in the Power Rangers was a significant part of his early career and helped establish him as a versatile actor capable of handling both animated and live-action roles.

Dacascos' performance as Zordon contributed significantly to the success of the original Power Rangers series, helping to create a memorable and iconic character that has remained popular among fans for decades. His portrayal of Zordon remains one of the most recognizable aspects of the Power Rangers franchise, cementing his place in the hearts of many who grew up watching the show.",1,
34,Which political party is currently in power in ireland?," As of my last update, Ireland does not operate under a traditional two-party system like the United States. Instead, it has a multi-party system with several significant parties. The most recent general election held on February 8, 2020, resulted in a hung parliament, with no single party winning a majority of seats.

However, following negotiations, a coalition government was formed between Fianna FÃ¡il, Fine Gael, and the Green Party, known as the Rainbow Coalition. Leo Varadkar, leader of Fine Gael, became Taoiseach (Prime Minister) for a second term, but his party stepped down to allow MicheÃ¡l Martin, leader of Fianna FÃ¡il, to become Taoiseach in June 2020. This coalition government is currently in power in Ireland as of my last update.",4,
35,Who sings you've got a friend in me in toy story 2?," The song ""You've Got a Friend in Me"" from Toy Story 2 was sung by Randy Newman, an American singer-songwriter and composer. This song is one of his most famous works and became a signature tune for the Toy Story franchise. In Toy Story 2, the character Woody sings this song to Jessie, expressing their friendship. The song's heartwarming lyrics and Newman's soulful voice have endeared it to audiences worldwide since its debut in 1995.",4,
